episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation,year
130.0,1/15/2020 0:00,Show TV,1,Zemheri,ay yapım,Emir Çubukçu,Ayça Ayşin Turan,Alperen Duymaz,sema ergenekon,hilal saral,toygar işıklı,Drama,No second genre,kerem çatay,20,0.0,2020
130.0,2/13/2019 0:00,Star TV,2,Kuzgun,ay yapım,Barış Arduç,Burcu Biricik,Nilperi Şahinkaya,"burcu görgün toptaş ,özlem yılmaz",bahadır i̇nce,toygar işıklı,Action & Adventure,Drama,kerem çatay,20,1.0,2019
130.0,3/9/2019,FOX,2,Bir Aile Hikayesi,med yapım,Songül Öden,Birkan Sokullu,Celil Nalçakan,deniz madanoğlu,merve girgin,cem öget,Drama,Family,fatih aksoy,20,1.0,2019
120.0,11/22/2019,FOX,1,Ferhat ile Şirin,"o3 medya,artistanbul",Cansu Dere,Tolga Sarıtaş,Leyla Tanlar,savaş korkmaz,mehmet ada öztekin,hasan özsüt,Drama,Romantic,"saner ayar,ömer durak,mine yilmaz,cengiz çagatay",20,1.0,2019
120.0,9/14/2019,Show TV,1,Gülperi,"tims productions,bi yapım",Nurgül Yeşilçay,Timuçin Esen,Tarık Papuççuoğlu,"sema ergenekon ,eylem canpolat",metin balekoğlu,cem öget,Drama,Family,"timur savcı,burak sağyaşar",20,0.0,2019
120.0,6/14/2019,FOX,1,Her Yerde Sen,karga seven pictures,Furkan Andıç,Aybüke Pusat,Ali Yağcı,"deniz yeşilgün,esra çetek yılmazer",ender mıhlar,zeynep bastık,Comedy,Romantic,"ömer özgüner,ümmü burhan",20,0.0,2019
120.0,3/5/2019,Kanal D,1,Yüzleşme,t company,Uğur Yücel,Hande Doğandemir,Engin Öztürk,"altuğ küçük,i̇sa yıldız,pelin karamehmetoğlu,beril köse",ömer faruk sorak,"ajlan akyüz,kivanç sarıkuş,mert tünay",Drama,Romantic,bülent turgut,20,0.0,2019
120.0,11/19/2019 0:00,Kanal D,1,Azize,süreç film,Buğra Gülsoy,Hande Erçel,Mustafa Avkıran,başar başaran,volkan kocatürk,fırat yükselir,Drama,No second genre,ali gündoğdu,20,0.0,2019
120.0,1/1/2019 0:00,Show TV,1,Oyunbozan,aka yapım,Barış Kılıç,İlayda Akdoğan,Kenan Bal,"altuğ küçük, ümit saat",emre kabakuşak,fırat yükselir,Horror,Crime,altug küçük,20,0.0,2019
130.0,1/7/2019 0:00,TRT 1,2,Vuslat,a23 medya,Kadir Doğulu,Devrim Özkan,Mehmet Özgür,betül yağsağan,murat onbul,fırat yükselir,Drama,Mystery,uğur veli,20,0.0,2019
130.0,1/15/2019 0:00,TRT 1,1,Halka,es film,Serkan Çayoğlu,Hande Erçel,Kaan Yıldırım,"aziz tuna, selim bener, ali demirel, meryem diri",volkan kocatürk,sertaç özgümüş,Action & Adventure,Drama,yusuf esenkal,20,0.0,2019
130.0,1/27/2019 0:00,Star TV,2,Kardeş Çocukları,gold film,Alara Turan,Mehmet Aslantuğ,Ayça Bingöl,sırma yanık,faruk teber,aytekin ataş,Family,Drama,faruk turgut,20,0.0,2019
