episode_run_time,first_air_date,networks,number_of_seasons,original_name,production_companies,firstStar,secondStar,thirdStar,writer,director,musician,genre1,genre2,createdBy,air_time,adaptation
130,1/15/2020 0:00,Show TV,1,Zemheri,Ay Yapım,Emir Çubukçu,Ayça Ayşin Turan,Alperen Duymaz,"Sema Ergenekon ,","Hilal Saral ,",,Drama,,Kerem Çatay,20,0
120,11/19/2019 0:00,Kanal D,1,Azize,Süreç Film,Buğra Gülsoy,Hande Erçel,Mustafa Avkıran,"Başar Başaran,","Volkan Kocatürk ,",,Drama,,Ali Gündoğdu,20,0
120,10/25/2019 0:00,Star TV,1,Sevgili Geçmiş,Süreç Film,Ece Uslu,Emre Kınay,Sevda Erginci,"Funda Alp,","Aydın Bulut ,",Batuhan Fırat,Drama,,İnci Gündoğdu,20,0
120,10/23/2019 0:00,FOX,1,Kurşun,Most Production,Engin Altan Düzyatan,Burçin Terzioğlu,Berrak Tüzünataç,"Kerem Deren,",Murat Can Oğuz,Timur Selçuk,Drama,Action,Gül Oğuz,20,0
120,9/9/2019 0:00,Star TV,1,Çocuk,1441 Productions,Nazan Kesal,İsmail Hacıoğlu,Merve Çağıran,Nazlı Sunlu Kaçan,"Serkan Birinci ,",,Drama,Family,İrfan Şahin,20,0
130,8/12/2019 0:00,Star TV,2,Mehmetçik Kut'ül Amare,Bozdağ Film,Kaan Taşaner,İsmail Hacıoğlu,Cansu Tosun,Mehmet Bozdağ,Mustafa Şevki Doğan,Alpay Göltekin,History,Fiction,Mehmet Bozdağ,20,0
9,8/1/2019 0:00,BluTV,3,Aynen Aynen,BluTV,Nilperi Şahinkaya,Kerem Bursin,Uraz Kaygılaroğlu,"Alper Erze ,","Yunus Ozan Korkut ,",Batuhan Fırat,Comedy,Short,Mina Saygı,online,0
120,6/13/2019 0:00,Star TV,1,Benim Tatlı Yalanım,O3 Medya,Aslı Bekiroğlu,Furkan Palalı,Lavinya Ünlüer,"Deniz Dargı ,Murat Taşkent ,","Barış Erçetin ,Cihan Vural ,",Cem Tuncer,Comedy,Drama,Şevket Pamir,20,0
120,6/12/2019 0:00,Kanal D,1,Afili Aşk,ARC Film,Burcu Özberk,Çağlar Ertuğrul,Altan Erkekli,"Barış Erdoğan ,İlker Arslan ,Kübra Sülün ,Okşan Tavaslıoğlu ,","Serdar Gözelekli ,",Aslı Demirer,Comedy,Romantic,Fatih Enes Ömeroğlu,20,0
138,6/11/2019 0:00,atv,1,Kimse Bilmez,Baba Yapım,Özgü Kaya,Keremcem,Engin Hepileri,Hasan Burak Kayacı,Hakan Eren,Engin Aslan,Action & Adventure,Drama,Hakan Eren,20,0
120,5/27/2019 0:00,atv,1,Canevim,Koliba Film,Biran Damla Yılmaz,Aras Aydın,Özgür Çevik,Filiz Alpgezmen,"Adnan Güler ,",Engin Aslan,Drama,Family,Ata Türkoğlu,22,0
120,4/16/2019 0:00,Kanal D,1,Leke,"Tims Productions,Bi Yapım",Melis Sezen,Burak Sevinç,Mehmet Bozdoğan,Yıldız Tunç,"Metin Balekoğlu ,",Cem Yıldız,Drama,Family,Timur Savcı,20,0
120,4/7/2019 0:00,atv,1,Zengin ve Yoksul,NTC Medya,Binnur Kaya,Gökhan Alkan,Osman Sonant,Yelda Eroğlu,"Deniz Yorulmazer ,",Alp Yenier,Drama,Romantic,Mehmet Yiğit Alp,20,0
130,3/3/2019 0:00,Show TV,1,Nöbet,Pana Film,Yurdaer Okur,Saygın Soysal,İpek Karapınar,Necati Şaşmaz,Ömer Gökhan Erkut,Gökhan Kırdar,War & Politics,Action & Adventure,Muhammed Necati Şaşmaz,20,0
130,2/13/2019 0:00,Star TV,2,Kuzgun,Ay Yapım,Barış Arduç,Burcu Biricik,Nilperi Şahinkaya,"Burcu Görgün Toptaş ,Özlem Yılmaz ,",Bahadır İnce,Toygar Işıklı,Action & Adventure,Drama,Kerem Çatay,20,1
130,2/6/2019 0:00,FOX,1,Vurgun,Gold Film,Erkan Petekkaya,Deniz Çakır,Emre Kınay,"Başar Başaran ,Emre Özdür ,","Altan Dönmez ,","Alpay Göltekin, Zeynep Alasya, Caner Özkan, Güldiyar Tanrıdağlı,",Soap,Family,Faruk Turgut,20,0
130,1/27/2019 0:00,Star TV,2,Kardeş Çocukları,Gold Film,Alara Turan,Mehmet Aslantuğ,Ayça Bingöl,"Sırma Yanık ,","Faruk Teber ,","Aytekin Ataş,",Family,Drama,Faruk Turgut,20,0
130,1/15/2019 0:00,TRT 1,1,Halka,ES Film,Serkan Çayoğlu,Hande Erçel,Kaan Yıldırım,"Aziz Tuna, Selim Bener, Ali Demirel, Meryem Diri,","Volkan Kocatürk,","Sertaç Özgümüş,",Action & Adventure,Drama,Yusuf Esenkal,20,0
130,1/7/2019 0:00,TRT 1,2,Vuslat,A23 Medya,Kadir Doğulu,Devrim Özkan,Mehmet Özgür,"Betül Yağsağan,","Murat Onbul,","Fırat Yükselir,",Drama,Mystery,Uğur Veli,20,0
120,1/1/2019 0:00,Show TV,1,Oyunbozan,Aka Yapım,Barış Kılıç,İlayda Akdoğan,Kenan Bal,"Altuğ Küçük, Ümit Saat,",Emre Kabakuşak,,Horror,Crime,Altug Küçük,20,0
